"SubscriptionId","SubscriptionName","ResourceGroupName","ResourceType","Name","MissingTag"
,,"DOCPRD_APP_RG_WStest","Microsoft.Compute/virtualMachines","wellstardevaz01","Data Classification"
,,"DOCPRD_APP_RG_WStest","Microsoft.Compute/virtualMachines","wellstardevaz01","Application"
,,"DOCPRD_APP_RG_WStest","Microsoft.Compute/virtualMachines","wellstardevaz01","Pillar"
,,"DOCPRD_APP_RG_WStest","Microsoft.Compute/virtualMachines","wellstardevaz01","Owner"
,,"DOCPRD_APP_RG_WStest","Microsoft.Compute/virtualMachines","wellstardevaz01","Division"
,,"DOCPRD_APP_RG_WStest","Microsoft.Compute/virtualMachines","wellstardevaz01","Environment"
,,"DOCPRD_APP_RG_WStest","Microsoft.Compute/virtualMachines","wellstardevaz01","Tier"
,,"DOCPRD_DB_RG","Microsoft.Compute/virtualMachines","DOC-AZP-SQL-01","Data Classification"
,,"DOCPRD_DB_RG","Microsoft.Compute/virtualMachines","DOC-AZP-SQL-01","Application"
,,"DOCPRD_DB_RG","Microsoft.Compute/virtualMachines","DOC-AZP-SQL-01","Pillar"
,,"DOCPRD_DB_RG","Microsoft.Compute/virtualMachines","DOC-AZP-SQL-01","Owner"
,,"DOCPRD_DB_RG","Microsoft.Compute/virtualMachines","DOC-AZP-SQL-01","Division"
,,"DOCPRD_DB_RG","Microsoft.Compute/virtualMachines","DOC-AZP-SQL-01","Environment"
,,"DOCPRD_DB_RG","Microsoft.Compute/virtualMachines","DOC-AZP-SQL-01","Tier"
,,"DOCPRD_DB_RG","Microsoft.Compute/virtualMachines/extensions","DOC-AZP-SQL-01/enablevmaccess","Data Classification"
,,"DOCPRD_DB_RG","Microsoft.Compute/virtualMachines/extensions","DOC-AZP-SQL-01/enablevmaccess","Application"
,,"DOCPRD_DB_RG","Microsoft.Compute/virtualMachines/extensions","DOC-AZP-SQL-01/enablevmaccess","Pillar"
,,"DOCPRD_DB_RG","Microsoft.Compute/virtualMachines/extensions","DOC-AZP-SQL-01/enablevmaccess","Owner"
,,"DOCPRD_DB_RG","Microsoft.Compute/virtualMachines/extensions","DOC-AZP-SQL-01/enablevmaccess","Division"
,,"DOCPRD_DB_RG","Microsoft.Compute/virtualMachines/extensions","DOC-AZP-SQL-01/enablevmaccess","Environment"
,,"DOCPRD_DB_RG","Microsoft.Compute/virtualMachines/extensions","DOC-AZP-SQL-01/enablevmaccess","Tier"
,,"DOCPRD_INFRA_RG_AD","Microsoft.Compute/virtualMachines","DOC-AZP-DC-01","Data Classification"
,,"DOCPRD_INFRA_RG_AD","Microsoft.Compute/virtualMachines","DOC-AZP-DC-01","Application"
,,"DOCPRD_INFRA_RG_AD","Microsoft.Compute/virtualMachines","DOC-AZP-DC-01","Pillar"
,,"DOCPRD_INFRA_RG_AD","Microsoft.Compute/virtualMachines","DOC-AZP-DC-01","Owner"
,,"DOCPRD_INFRA_RG_AD","Microsoft.Compute/virtualMachines","DOC-AZP-DC-01","Division"
,,"DOCPRD_INFRA_RG_AD","Microsoft.Compute/virtualMachines","DOC-AZP-DC-01","Environment"
,,"DOCPRD_INFRA_RG_AD","Microsoft.Compute/virtualMachines","DOC-AZP-DC-01","Tier"
,,"DOCPRD_INFRA_RG_AD","Microsoft.Compute/virtualMachines","DOC-AZP-DC-02","Data Classification"
,,"DOCPRD_INFRA_RG_AD","Microsoft.Compute/virtualMachines","DOC-AZP-DC-02","Application"
,,"DOCPRD_INFRA_RG_AD","Microsoft.Compute/virtualMachines","DOC-AZP-DC-02","Pillar"
,,"DOCPRD_INFRA_RG_AD","Microsoft.Compute/virtualMachines","DOC-AZP-DC-02","Owner"
,,"DOCPRD_INFRA_RG_AD","Microsoft.Compute/virtualMachines","DOC-AZP-DC-02","Division"
,,"DOCPRD_INFRA_RG_AD","Microsoft.Compute/virtualMachines","DOC-AZP-DC-02","Environment"
,,"DOCPRD_INFRA_RG_AD","Microsoft.Compute/virtualMachines","DOC-AZP-DC-02","Tier"
,,"docprd_infra_rs","Microsoft.Compute/virtualMachines","DOCSPICEWKS","Data Classification"
,,"docprd_infra_rs","Microsoft.Compute/virtualMachines","DOCSPICEWKS","Application"
,,"docprd_infra_rs","Microsoft.Compute/virtualMachines","DOCSPICEWKS","Pillar"
,,"docprd_infra_rs","Microsoft.Compute/virtualMachines","DOCSPICEWKS","Owner"
,,"docprd_infra_rs","Microsoft.Compute/virtualMachines","DOCSPICEWKS","Division"
,,"docprd_infra_rs","Microsoft.Compute/virtualMachines","DOCSPICEWKS","Environment"
,,"docprd_infra_rs","Microsoft.Compute/virtualMachines","DOCSPICEWKS","Tier"
,,"DOCPRD_netw_fw_edge_rg","Microsoft.Compute/virtualMachines","fw-edge1","Data Classification"
,,"DOCPRD_netw_fw_edge_rg","Microsoft.Compute/virtualMachines","fw-edge1","Application"
,,"DOCPRD_netw_fw_edge_rg","Microsoft.Compute/virtualMachines","fw-edge1","Pillar"
,,"DOCPRD_netw_fw_edge_rg","Microsoft.Compute/virtualMachines","fw-edge1","Owner"
,,"DOCPRD_netw_fw_edge_rg","Microsoft.Compute/virtualMachines","fw-edge1","Division"
,,"DOCPRD_netw_fw_edge_rg","Microsoft.Compute/virtualMachines","fw-edge1","Environment"
,,"DOCPRD_netw_fw_edge_rg","Microsoft.Compute/virtualMachines","fw-edge1","Tier"
,,"DOCPRD_netw_fw_edge_rg","Microsoft.Compute/virtualMachines","fw-edge2","Data Classification"
,,"DOCPRD_netw_fw_edge_rg","Microsoft.Compute/virtualMachines","fw-edge2","Application"
,,"DOCPRD_netw_fw_edge_rg","Microsoft.Compute/virtualMachines","fw-edge2","Pillar"
,,"DOCPRD_netw_fw_edge_rg","Microsoft.Compute/virtualMachines","fw-edge2","Owner"
,,"DOCPRD_netw_fw_edge_rg","Microsoft.Compute/virtualMachines","fw-edge2","Division"
,,"DOCPRD_netw_fw_edge_rg","Microsoft.Compute/virtualMachines","fw-edge2","Environment"
,,"DOCPRD_netw_fw_edge_rg","Microsoft.Compute/virtualMachines","fw-edge2","Tier"
,,"TestVMs","Microsoft.Compute/virtualMachines","TestVMData","Data Classification"
,,"TestVMs","Microsoft.Compute/virtualMachines","TestVMData","Application"
,,"TestVMs","Microsoft.Compute/virtualMachines","TestVMData","Pillar"
,,"TestVMs","Microsoft.Compute/virtualMachines","TestVMData","Owner"
,,"TestVMs","Microsoft.Compute/virtualMachines","TestVMData","Division"
,,"TestVMs","Microsoft.Compute/virtualMachines","TestVMData","Environment"
,,"TestVMs","Microsoft.Compute/virtualMachines","TestVMData","Tier"
,,"TestVMs","Microsoft.Compute/virtualMachines","TestVMWeb","Data Classification"
,,"TestVMs","Microsoft.Compute/virtualMachines","TestVMWeb","Application"
,,"TestVMs","Microsoft.Compute/virtualMachines","TestVMWeb","Pillar"
,,"TestVMs","Microsoft.Compute/virtualMachines","TestVMWeb","Owner"
